"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"gtsummary","gtsummary","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.5.2",NA,"R (>= 3.4)","broom (>= 0.7.11), broom.helpers (>= 1.6.0), cli (>= 3.1.1),
dplyr (>= 1.0.7), forcats (>= 0.5.1), glue (>= 1.6.0), gt (>=
0.3.1), knitr (>= 1.37), lifecycle (>= 1.0.1), purrr (>=
0.3.4), rlang (>= 0.4.12), stringr (>= 1.4.0), tibble (>=
3.1.6), tidyr (>= 1.1.4)",NA,"broom.mixed (>= 0.2.7), car (>= 3.0-11), covr, effectsize (>=
0.6.0), emmeans (>= 1.7.2), flextable (>= 0.6.10), geepack,
GGally (>= 2.1.0), Hmisc, huxtable (>= 5.4.0), insight (>=
0.15.0), kableExtra (>= 1.3.4), lme4, mgcv, mice (>= 3.10.0),
nnet, officer, parameters (>= 0.16.0), parsnip (>= 0.1.7),
rmarkdown, sandwich (>= 3.0.1), scales, smd (>= 0.6.6),
spelling (>= 2.2), survey, survival (>= 3.2-11), testthat (>=
3.0.4), workflows (>= 0.2.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"haven","haven","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.4.3",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, methods, readr (>= 0.1.0), rlang (>=
0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)","cpp11","cli, covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"here","here","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"highr","highr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"Hmisc","Hmisc","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.6-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"hms","hms","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1.1",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"htmlTable","htmlTable","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.3.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"htmltools","htmltools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5.2",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"htmlwidgets","htmlwidgets","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.5.4",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"httpcode","httpcode","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"httpuv","httpuv","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6.4",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"httr","httr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4.2",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"huxtable","huxtable","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","5.4.0",NA,"R (>= 2.10)","assertthat, commonmark, generics, glue, memoise, R6, rlang,
stats, stringi, stringr (>= 1.2.0), tidyselect, utils, xml2",NA,"AER, bookdown, broom (>= 0.5.1), broom.mixed, covr, crayon,
devtools, dplyr (>= 0.7.0), fansi, flextable (>= 0.5.5),
ftExtra (>= 0.0.2), ggplot2, httr, knitr, lme4, lmtest, nlme,
nnet, officer, openxlsx, psych, rmarkdown, sandwich, scales,
testthat, tibble, tinytex",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"hypergeo","hypergeo","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2-13",NA,"R (>= 3.1.0),","elliptic (>= 1.3-5), contfrac (>= 1.1-9), deSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ids","ids","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"igraph","igraph","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.10",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, graph, igraphdata, rgl, scales, stats4, tcltk, testthat,
withr, digest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"iNEXT","iNEXT","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.20",NA,"R (>= 3.4)","stats, graphics, ggplot2, reshape2",NA,"testthat, knitr, rmarkdown, gridExtra, ggthemes",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"ini","ini","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"insight","insight","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.15.0",NA,"R (>= 3.4)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, censReg, cgam,
clubSandwich, coxme, cplm, crch, datawizard, effectsize,
emmeans, epiR, estimatr, feisr, fixest, fungible, gam, gamlss,
gamm4, gbm, gee, geepack, GLMMadaptive, glmmTMB, gmnl, gt,
httr, ivreg, JM, knitr, lavaan, lfe, lme4, lmtest, logistf,
MASS, Matrix, mclust, MCMCglmm, merTools, metaBMA, mgcv, mice,
mlogit, multgee, nlme, nnet, nonnest2, ordinal, panelr,
parameters, parsnip, performance, plm, poorman, pscl, psych,
quantreg, rmarkdown, rms, robustbase, robustlmm, rstanarm (>=
2.21.1), rstantools, rstudioapi, sandwich, speedglm, spelling,
splines, statmod, survey, survival, testthat, tripack,
truncreg, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"ipred","ipred","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.9-12",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"IRanges","IRanges","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.28.0",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.39.2),
S4Vectors (>= 0.29.19)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"ISLR","ISLR","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4",NA,"R (>= 3.5.0)",NA,NA,"MASS",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"isoband","isoband","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.2.5",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"iterators","iterators","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.13",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.1.0"
"janitor","janitor","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.1.0",NA,"R (>= 3.1.2)","dplyr (>= 1.0.0), lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"knitr, rmarkdown, sf, testthat, tibble, tidygraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"jpeg","jpeg","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1-9",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"jquerylib","jquerylib","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"jsonify","jsonify","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.1",NA,"R (>= 3.3.0)","Rcpp (>= 0.12.18)","rapidjsonr (>= 1.2.0), Rcpp","covr, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"jsonlite","jsonlite","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.7.2",NA,"methods",NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"jsonvalidate","jsonvalidate","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.2",NA,NA,"V8",NA,"knitr, jsonlite, rmarkdown, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"jtools","jtools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.1.4",NA,"R (>= 2.10)","crayon, generics, ggplot2 (>= 3.3.0), magrittr, pander,
pkgconfig, rlang (>= 0.3.0), tibble",NA,"boot, broom, broom.mixed, ggstance, huxtable (>= 3.0.0),
kableExtra, lme4, lmerTest, MASS, methods, pbkrtest,
RColorBrewer, sandwich, scales, survey, weights, knitr,
rmarkdown, testthat","brms, quantreg, rstanarm","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"kableExtra","kableExtra","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.4",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest,
graphics, svglite",NA,"testthat, magick, formattable, sparkline",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"kernlab","kernlab","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.9-30",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"KernSmooth","KernSmooth","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.1.2"
"keyring","keyring","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.0",NA,NA,"assertthat, askpass, openssl, R6, utils, sodium, yaml,
filelock, rappdirs, tools",NA,"callr, covr, mockery, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"knitr","knitr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.37",NA,"R (>= 3.2.3)","evaluate (>= 0.10), highr, methods, stringr (>= 0.6), yaml (>=
2.1.19), xfun (>= 0.27), tools",NA,"markdown, formatR, testit, digest, rgl (>= 0.95.1201),
codetools, rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice
(>= 0.10), tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1),
magick, png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>=
0.4-1), showtext, tibble, sass, bslib, ragg, styler (>= 1.2.0),
targets (>= 0.6.0)",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"kSamples","kSamples","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2-9",NA,"SuppDists","methods, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"labeling","labeling","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.1.0"
"labelled","labelled","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.9.0",NA,"R (>= 3.0)","haven (>= 2.4.1), dplyr (>= 1.0.0), lifecycle, rlang, vctrs,
stringr, tidyr",NA,"testthat, knitr, rmarkdown, questionr, snakecase, utf8, covr,
spelling","memisc","GPL-3",NA,NA,NA,NA,"no","4.1.0"
"labelVector","labelVector","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.2",NA,"R (>= 2.0.0)",NA,NA,"Hmisc, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"later","later","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"lattice","lattice","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.20-45","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"latticeExtra","latticeExtra","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"lava","lava","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6.10",NA,"R (>= 3.0)","future.apply, progressr, grDevices, graphics, methods,
numDeriv, stats, survival, SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, gof (>= 0.9), graph, knitr, bookdown, rmarkdown,
igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2, lme4,
magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg, rgl,
R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"lavaan","lavaan","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.6-10",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"lazyeval","lazyeval","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"leafem","leafem","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.6",NA,"R (>= 3.1.0)","base64enc, geojsonsf, htmltools (>= 0.3), htmlwidgets, leaflet
(>= 2.0.1), methods, raster, sf, png",NA,"clipr, gdalUtils, leafgl, mapdeck, plainview, stars",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"leaflet","leaflet","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.4.1",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1), leaflet.providers (>=
1.8.0)",NA,"knitr, maps, sf (>= 0.9-6), shiny, rgdal, rgeos, R6, RJSONIO,
purrr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"leaflet.providers","leaflet.providers","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.9.0",NA,"R (>= 2.10)",NA,NA,"V8, jsonlite, testthat (>= 2.1.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"leafpop","leafpop","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.0",NA,NA,"base64enc, brew, htmltools, htmlwidgets, sf, svglite, uuid",NA,"lattice, leaflet (>= 2.0.0), sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"leaps","leaps","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.1",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"lifecycle","lifecycle","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.1",NA,"R (>= 3.3)","glue, rlang (>= 0.4.10)",NA,"covr, crayon, lintr, tidyverse, knitr, rmarkdown, testthat
(>= 3.0.1), tools, tibble, vctrs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"listenv","listenv","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.8.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"lme4","lme4","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1-27.1",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"lmtest","lmtest","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"lpSolve","lpSolve","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","5.6.15",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.1.0"
"lubridate","lubridate","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.8.0",NA,"methods, R (>= 3.2)","generics","cpp11 (>= 0.2.7)","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"magick","magick","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.7.3",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"magrittr","magrittr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"mapproj","mapproj","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.7",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.1.0"
"maps","maps","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.4.0",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"maptools","maptools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1-2",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"mapview","mapview","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.10.0",NA,"methods, R (>= 3.6.0)","base64enc, htmltools, htmlwidgets, lattice, leafem, leaflet
(>= 2.0.0), leafpop, png, raster, satellite, scales (>= 0.2.5),
servr, sf, sp, webshot",NA,"covr, knitr, later, leaflet.extras2, leafsync, lwgeom,
mapdeck, plainview, poorman, rmarkdown, rstudioapi, s2, stars,
tinytest",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"markdown","markdown","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","7.3-55","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"mathjaxr","mathjaxr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6-0",NA,NA,NA,NA,"js",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.4-0","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.1.0"
"MatrixModels","MatrixModels","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5-0",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"matrixStats","matrixStats","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.61.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.0"
"mc2d","mc2d","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1-21",NA,"R (>= 2.10.0), mvtnorm","stats, grDevices, graphics, utils",NA,"fitdistrplus, survival, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"mclust","mclust","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","5.4.9",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"memoise","memoise","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"metadat","metadat","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2-0",NA,"R (>= 4.0.0)","utils, tools, mathjaxr",NA,"metafor, numDeriv, BiasedUrn, dfoptim, igraph, ape, testthat,
digest, lme4, clubSandwich, meta, netmeta, mvtnorm, gridExtra,
rms",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"metafor","metafor","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.4-0",NA,"R (>= 4.0.0), methods, Matrix, metadat","stats, utils, graphics, grDevices, nlme, mathjaxr, pbapply",NA,"lme4, numDeriv, pracma, minqa, nloptr, dfoptim, ucminf,
lbfgsb3c, subplex, BB, optimParallel, CompQuadForm, mvtnorm,
BiasedUrn, Epi, survival, GLMMadaptive, glmmTMB, multcomp, gsl,
sp, ape, boot, clubSandwich, crayon, R.rsp, testthat,
rmarkdown, wildmeta",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"metaviz","metaviz","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.3.1",NA,"R (>= 3.2.0)","ggplot2 (>= 3.1.0), nullabor (>= 0.3.5), dplyr (>= 0.7.8),
RColorBrewer (>= 1.1-2), metafor (>= 1.9-9), gridExtra (>=
2.2.1), ggpubr (>= 0.1.6)",NA,"Cairo (>= 1.5-9), knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"methods","methods","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.8-38","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"mime","mime","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.1.0"
"minqa","minqa","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"mitools","mitools","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
